type,key,strain,experiment,researcher,sex,tx,drug,notes
animal_id,3245,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3246,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3252,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3253,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3260,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3261,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3278,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3279,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3280,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3281,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3284,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3285,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3263,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3264,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3265,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3270,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3271,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3266,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3272,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3273,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3290,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3291,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3286,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3287,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3375,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3376,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3382,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3383,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3388,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3389,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3390,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3391,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3392,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3394,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3397,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3398,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3395,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3396,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3399,tg,VASTalt,Michelle,M,n/a,n/a,
animal_id,3400,wt,VASTalt,Michelle,M,n/a,n/a,
animal_id,3404,wt,VASTalt,Michelle,M,n/a,n/a,

