epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/nose,train/confmaps/tail,train/confmaps/neck,train/confmaps/hindL,train/confmaps/foreL,train/confmaps/foreR,train/confmaps/hindR,train/confmaps/spine
0,,0.0019538269843906164,,,,,,,,,,,
0,,0.0005882566911168396,,,,,,,,,,,
1,0.0005834883777424693,0.0004612734483089298,9.999999747378752e-05,649.5798950195312,0.23891615867614746,0.0005828118300996721,0.0005713326390832663,0.000584959692787379,0.0005741586210206151,0.0006132251583039761,0.0005787999252788723,0.0005896331858821213,0.000572985562030226
2,0.0005566157633438706,0.00036476817331276834,9.999999747378752e-05,654.3421020507812,0.2043619155883789,0.00056611088803038,0.0005568581982515752,0.0005503277643583715,0.0005515897064469755,0.0005769161507487297,0.0005610035150311887,0.0005576122784987092,0.0005325073143467307
3,0.0003509093658067286,0.0005687226075679064,9.999999747378752e-05,653.1854248046875,0.19223976135253906,0.0004571893368847668,0.0003666867269203067,0.0003175916790496558,0.0003669822763185948,0.0003670966543722898,0.00033281592186540365,0.0003526858636178076,0.0002462261472828686
4,0.00036491898936219513,0.0005857301875948906,9.999999747378752e-05,650.8318481445312,0.1884751319885254,0.0004548987199086696,0.00040423552854917943,0.00031702619162388146,0.0003874561807606369,0.00035525549901649356,0.0003417199186515063,0.00038244613097049296,0.0002763137745205313
5,0.0005310771521180868,0.0005188668728806078,9.999999747378752e-05,663.4063720703125,0.18085002899169922,0.000560590997338295,0.0005462807021103799,0.0005265544750727713,0.0005343644297681749,0.0005262745544314384,0.0005274044233374298,0.0005263971979729831,0.0005007499130442739
6,0.0005527987377718091,0.0005728243268094957,9.999999747378752e-05,654.0530395507812,0.19228625297546387,0.0005668444791808724,0.0005621532327495515,0.0005430432502180338,0.0005479922983795404,0.0005557601107284427,0.0005587306222878397,0.0005621120799332857,0.0005257540033198893
7,0.0004807780496776104,0.00032185553573071957,9.999999747378752e-05,657.168701171875,0.18384671211242676,0.0005327420076355338,0.0004972268943674862,0.00046140208723954856,0.00046875420957803726,0.0004824356874451041,0.0004837455344386399,0.00048817298375070095,0.0004317448765505105
8,0.0003352327039465308,0.0005753011791966856,9.999999747378752e-05,656.6088256835938,0.19445013999938965,0.00043568984256125987,0.0003735197242349386,0.0002961638674605638,0.00035191819188185036,0.00032646191539242864,0.0003220488433726132,0.00035528119769878685,0.0002207784855272621
9,0.0003413568192627281,0.000307535839965567,9.999999747378752e-05,656.0660400390625,0.17593669891357422,0.0004059111815877259,0.00038858596235513687,0.0002873136836569756,0.0003689031000249088,0.0003282391116954386,0.00032503477996215224,0.00037997536128386855,0.0002468915481586009
10,0.0004432407731655985,0.0002925658773165196,9.999999747378752e-05,640.760009765625,0.18277597427368164,0.0005178872379474342,0.0004496073233895004,0.0004252561484463513,0.00043825828470289707,0.00043853206443600357,0.00046524914796464145,0.00044074151082895696,0.0003703939728438854
11,0.00023566800518892705,0.0002766706747934222,9.999999747378752e-05,619.7064208984375,0.18138599395751953,0.00037141217035241425,0.000286088848952204,0.00017153275257442147,0.0002725464873947203,0.0002228356897830963,0.00021520759037230164,0.000262079993262887,8.364028326468542e-05
12,0.00018073874525725842,0.00022764717868994921,9.999999747378752e-05,606.3966064453125,0.17933392524719238,0.0002694838331080973,0.00021478139387909323,0.0001026075697154738,0.0002454449131619185,0.000162757612997666,0.00015462606097571552,0.00022308883490040898,7.311972149182111e-05
13,0.0001047501209541224,0.00023809800040908158,9.999999747378752e-05,606.05126953125,0.19185352325439453,0.00014023843687027693,8.226224599638954e-05,4.7811525291763246e-05,0.00014867815480101854,0.00010773077519843355,0.00011881070531671867,0.00014372308214660734,4.8745936510385945e-05
14,8.23208101792261e-05,0.00027205434162169695,9.999999747378752e-05,609.1594848632812,0.18163800239562988,0.00010221057164017111,6.121514888945967e-05,3.649809514172375e-05,0.00011762908252421767,9.157338354270905e-05,9.898561256704852e-05,0.00011005232227034867,4.0402341255685315e-05
15,7.619441748829558e-05,0.00021659655612893403,9.999999747378752e-05,606.3816528320312,0.17666316032409668,9.177800529869273e-05,6.292453326750547e-05,4.3875577830476686e-05,9.735240018926561e-05,8.383384556509554e-05,9.537027654005215e-05,8.982430881587788e-05,4.459638148546219e-05
16,5.441650137072429e-05,0.0002009668096434325,9.999999747378752e-05,607.0048828125,0.17772579193115234,5.868882726645097e-05,4.45577607024461e-05,2.8944994483026676e-05,7.038217881927267e-05,6.017119812895544e-05,7.457876927219331e-05,6.482211028924212e-05,3.3186232030857354e-05
17,4.253132647136226e-05,0.0002067831374006346,9.999999747378752e-05,605.21337890625,0.18564820289611816,4.267273106961511e-05,3.43175524903927e-05,2.410658089502249e-05,5.454126949189231e-05,4.683634688262828e-05,5.9343357861507684e-05,5.101439819554798e-05,2.741841490205843e-05
18,3.603061122703366e-05,0.00022147301933728158,9.999999747378752e-05,605.59912109375,0.18234038352966309,3.594595182221383e-05,2.9393095246632583e-05,2.2198568331077695e-05,4.547516073216684e-05,3.785192166105844e-05,4.916521720588207e-05,4.373664705781266e-05,2.447828410367947e-05
19,3.11777439492289e-05,0.0002245251089334488,9.999999747378752e-05,602.989013671875,0.183424711227417,3.151823693769984e-05,2.5899444153765216e-05,2.0685436538769864e-05,3.898034628946334e-05,3.1809351639822125e-05,4.079153586644679e-05,3.727092916960828e-05,2.246664371341467e-05
