type,key,strain,experiment,researcher,sex,tx,drug,notes
animal_id,2314,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2315,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2382,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2383,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2396,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2397,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2398,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2399,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2400,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2401,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2422,wt,VASTcont,Kevan Lim,M,n/a,n/a,excluded?
animal_id,2423,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2463,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2464,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2465,tg,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2466,wt,VASTcont,Kevan Lim,M,n/a,n/a,
animal_id,2058,tg,VASTcont,Daniel,F,n/a,n/a,
animal_id,2059,wt,VASTcont,Daniel,F,n/a,n/a,
animal_id,2060,wt,VASTcont,Daniel,F,n/a,n/a,
animal_id,2061,tg,VASTcont,Daniel,F,n/a,n/a,
animal_id,2164,wt,VASTcont,Daniel,F,n/a,n/a,
animal_id,2165,wt,VASTcont,Daniel,F,n/a,n/a,
animal_id,2166,wt,VASTcont,Daniel,F,n/a,n/a,
animal_id,2167,tg,VASTcont,Daniel,F,n/a,n/a,
animal_id,2168,tg,VASTcont,Daniel,F,n/a,n/a,
animal_id,2169,tg,VASTcont,Daniel,F,n/a,n/a,
animal_id,2589,,VASTcont,Jami,M,,,
animal_id,2590,,VASTcont,Jami,M,,,
animal_id,2593,,VASTcont,Jami,M,,,
animal_id,2594,,VASTcont,Jami,M,,,
animal_id,2599,,VASTcont,Jami,M,,,
animal_id,2600,,VASTcont,Jami,M,,,
animal_id,2623,wt,VASTcont,Jami,M,RBSF,n/a,
animal_id,2624,tg,VASTcont,Jami,M,RBSF,n/a,
animal_id,2627,tg,VASTcont,Jami,M,RBSF,LKE,
animal_id,2628,wt,VASTcont,Jami,M,RBSF,LKE,
animal_id,2629,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2631,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2633,tg,VASTcont,Jami,M,n/a,LKE,
animal_id,2635,tg,VASTcont,Jami,M,n/a,LKE,
animal_id,2691,tg,VASTcont,Jami,M,RBSF,n/a,
animal_id,2692,wt,VASTcont,Jami,M,RBSF,n/a,
animal_id,2693,wt,VASTcont,Jami,M,RBSF,LKE,
animal_id,2694,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2695,tg,VASTcont,Jami,M,n/a,LKE,
animal_id,2696,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2697,tg,VASTcont,Jami,M,RBSF,LKE,
animal_id,2698,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2699,tg,VASTcont,Jami,M,n/a,LKE,
animal_id,2701,tg,VASTcont,Jami,M,n/a,LKE,
animal_id,2729,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2730,wt,VASTcont,Jami,M,RBSF,LKE,
animal_id,2731,wt,VASTcont,Jami,M,RBSF,LKE,
animal_id,2732,tg,VASTcont,Jami,M,RBSF,LKE,
animal_id,2733,tg,VASTcont,Jami,M,n/a,n/a,
animal_id,2734,wt,VASTcont,Jami,M,n/a,LKE,
animal_id,2735,tg,VASTcont,Jami,M,RBSF,LKE,
animal_id,2736,tg,VASTcont,Jami,M,RBSF,n/a,
animal_id,2737,wt,VASTcont,Jami,M,RBSF,n/a,
animal_id,2739,tg,VASTcont,Jami,M,RBSF,n/a,
animal_id,2741,tg,VASTcont,Jami,M,RBSF,n/a,
animal_id,2742,tg,VASTcont,Jami,M,RBSF,LKE,
animal_id,2743,wt,VASTcont,Jami,M,RBSF,LKE,
animal_id,2744,wt,VASTcont,Jami,M,RBSF,n/a,
animal_id,534,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,535,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,537,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5404,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,0% success
animal_id,5405,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,0% success
animal_id,5406,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5407,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5412,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5413,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5414,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5415,wt,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5416,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5417,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5418,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5419,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,0% success
animal_id,542,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5420,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5421,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5422,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,5423,wt,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,543,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,556,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,excluded?
animal_id,557,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,558,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,559,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,561,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,563,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,577,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,578,tg,LASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,997,tg,VASTalt,Nickolas Pasetto,M,n/a,n/a,
animal_id,1,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,2,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,3,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,4,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,5,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,6,?,VASTcont,Hayden,?,RBSF,n/a,
animal_id,3245,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3246,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3252,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3253,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3260,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3261,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3278,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3279,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3280,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3281,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3284,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3285,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3263,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3264,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3265,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3270,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3271,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3266,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3272,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3273,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3290,tg,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3291,wt,VASTalt,Emma|Hayden,F,n/a,n/a,
animal_id,3286,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3287,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3375,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3376,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3243,tg,VASTalt,Emma|Hayden,F,RBSF,n/a,
animal_id,3244,wt,VASTalt,Emma|Hayden,F,RBSF,n/a,
animal_id,32571,tg,VASTalt,Emma|Hayden,M,RBSF,n/a,
animal_id,32581,wt,VASTalt,Emma|Hayden,M,RBSF,n/a,
animal_id,3382,tg,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3383,wt,VASTalt,Emma|Hayden,F,RBSF-1,n/a,
animal_id,3388,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3389,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3390,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3391,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3392,tg,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3394,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3397,tg,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3398,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
animal_id,3395,wt,VASTalt,Emma|Hayden,M,RBSF-1,n/a,
animal_id,3396,wt,VASTalt,Emma|Hayden,M,n/a,n/a,
