parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 1.mp4,3201,RBSD,F,train_1,1,1,2025-11-18T13:06:32
EHRAM Cohort 1 DARPA videos,Test 2.mp4,3202,RBSD,F,train_1,1,2,2025-11-18T13:10:41
EHRAM Cohort 1 DARPA videos,Test 3.mp4,3203,RBSD,F,train_1,1,5,2025-11-18T13:14:03
EHRAM Cohort 1 DARPA videos,Test 4.mp4,3205,RBSD,F,train_1,1,2,2025-11-18T13:19:53
EHRAM Cohort 1 DARPA videos,Test 5.mp4,3206,RBSD,F,train_1,1,6,2025-11-18T13:22:32
EHRAM Cohort 1 DARPA videos,Test 6.mp4,3207,RBSD,F,train_1,1,5,2025-11-18T13:29:01
EHRAM Cohort 1 DARPA videos,Test 7.mp4,3203,RBSD,F,train_1,2,4,2025-11-18T13:39:47
EHRAM Cohort 1 DARPA videos,Test 8.mp4,3202,RBSD,F,train_1,2,3,2025-11-18T13:37:00
EHRAM Cohort 1 DARPA videos,Test 9.mp4,3201,RBSD,F,train_1,2,3,2025-11-18T13:33:57
EHRAM Cohort 1 DARPA videos,Test 10.mp4,3205,RBSD,F,train_1,2,0,2025-11-18T13:43:01
EHRAM Cohort 1 DARPA videos,Test 11.mp4,3206,RBSD,F,train_1,2,1,2025-11-18T13:45:38
EHRAM Cohort 1 DARPA videos,Test 12.mp4,3207,RBSD,F,train_1,2,1,2025-11-18T13:48:44
EHRAM Cohort 1 DARPA videos,Test 13.mp4,3201,RBSD,F,train_1,3,4,2025-11-18T13:51:29
EHRAM Cohort 1 DARPA videos,Test 14.mp4,3202,RBSD,F,train_1,3,1,2025-11-18T13:56:31
EHRAM Cohort 1 DARPA videos,Test 15.mp4,3203,RBSD,F,train_1,3,3,2025-11-18T13:59:44
EHRAM Cohort 1 DARPA videos,Test 16.mp4,3205,RBSD,F,train_1,3,6,2025-11-18T14:04:05
EHRAM Cohort 1 DARPA videos,Test 17.mp4,3206,RBSD,F,train_1,3,2,2025-11-18T14:07:21
EHRAM Cohort 1 DARPA videos,Test 18.mp4,3207,RBSD,F,train_1,3,5,2025-11-18T14:09:51
EHRAM Cohort 1 DARPA videos,Test 19.mp4,3201,RBSD,F,train_1,4,3,2025-11-18T14:12:32
EHRAM Cohort 1 DARPA videos,Test 20.mp4,3202,RBSD,F,train_1,4,4,2025-11-18T14:16:33
EHRAM Cohort 1 DARPA videos,Test 21.mp4,3203,RBSD,F,train_1,4,4,2025-11-18T14:22:53
EHRAM Cohort 1 DARPA videos,Test 22.mp4,3205,RBSD,F,train_1,4,5,2025-11-18T14:27:16
EHRAM Cohort 1 DARPA videos,Test 23.mp4,3206,RBSD,F,train_1,4,6,2025-11-18T14:32:08
EHRAM Cohort 1 DARPA videos,Test 24.mp4,3207,RBSD,F,train_1,4,7,2025-11-18T14:35:26
EHRAM Cohort 1 DARPA videos,Test 25.mp4,3208,NoSD,F,train_1,1,4,2025-11-18T15:01:21
EHRAM Cohort 1 DARPA videos,Test 26.mp4,3209,GHSD,F,train_1,1,1,2025-11-18T15:06:18
EHRAM Cohort 1 DARPA videos,Test 27.mp4,3210,GHSD,F,train_1,1,7,2025-11-18T15:11:14
EHRAM Cohort 1 DARPA videos,Test 28.mp4,3211,GHSD,F,train_1,1,3,2025-11-18T15:18:42
EHRAM Cohort 1 DARPA videos,Test 29.mp4,3212,GHSD,F,train_1,1,4,2025-11-18T15:23:04
